gvkey,iid,datadate,tic,cshtrd,prccd,gind,sic,,,
3310,1,3/15/2016,CA,2024371,30.28,451030,7372,,,
3310,1,3/16/2016,CA,3955491,30.7,451030,7372,,,
3310,1,3/17/2016,CA,2472530,30.92,451030,7372,,,
3310,1,3/18/2016,CA,4181325,30.74,451030,7372,,,
3310,1,3/21/2016,CA,2078018,31.08,451030,7372,,,
3310,1,3/22/2016,CA,1399868,31.11,451030,7372,,,
3310,1,3/23/2016,CA,2072545,30.6,451030,7372,,,
3310,1,3/24/2016,CA,1542738,30.73,451030,7372,,,
3310,1,3/28/2016,CA,1682969,30.73,451030,7372,,,
3310,1,3/29/2016,CA,3708109,30.71,451030,7372,,,
3310,1,3/30/2016,CA,2233038,30.89,451030,7372,,,
3310,1,3/31/2016,CA,2702194,30.79,451030,7372,,,
3310,1,4/1/2016,CA,3513467,30.99,451030,7372,,,
3310,1,4/4/2016,CA,1828100,30.72,451030,7372,,,
3310,1,4/5/2016,CA,3685099,30.35,451030,7372,,,
3310,1,4/6/2016,CA,2262776,30.49,451030,7372,,,
3310,1,4/7/2016,CA,2516198,30.07,451030,7372,,,
3310,1,4/8/2016,CA,2171212,30.04,451030,7372,,,
3310,1,4/11/2016,CA,3040073,30.08,451030,7372,,,
3310,1,4/12/2016,CA,3125968,29.99,451030,7372,,,
3310,1,4/13/2016,CA,2607682,30.28,451030,7372,,,
3310,1,4/14/2016,CA,2265914,30.05,451030,7372,,,
3310,1,4/15/2016,CA,2465975,30.14,451030,7372,,,
3310,1,4/18/2016,CA,2086307,30.4,451030,7372,,,
3310,1,4/19/2016,CA,2005125,30.3,451030,7372,,,
3310,1,4/20/2016,CA,2573286,30.21,451030,7372,,,
3310,1,4/21/2016,CA,3440650,30.51,451030,7372,,,
3310,1,4/22/2016,CA,2390798,30.18,451030,7372,,,
3310,1,4/25/2016,CA,2584288,30.22,451030,7372,,,
3310,1,4/26/2016,CA,2298522,30.6,451030,7372,,,
3310,1,4/27/2016,CA,2107062,30.79,451030,7372,,,
3310,1,4/28/2016,CA,2973183,30.11,451030,7372,,,
3310,1,4/29/2016,CA,4616230,29.66,451030,7372,,,
3310,1,5/2/2016,CA,3896833,29.61,451030,7372,,,
3310,1,5/3/2016,CA,4082313,29.67,451030,7372,,,
3310,1,5/4/2016,CA,2310913,29.41,451030,7372,,,
3310,1,5/5/2016,CA,2599402,29.36,451030,7372,,,
3310,1,5/6/2016,CA,1873478,29.71,451030,7372,,,
3310,1,5/9/2016,CA,2694197,29.81,451030,7372,,,
3310,1,5/10/2016,CA,2389250,30.15,451030,7372,,,
3310,1,5/11/2016,CA,2962442,29.96,451030,7372,,,
3310,1,5/12/2016,CA,6883557,31.48,451030,7372,,,
3310,1,5/13/2016,CA,3543317,31.53,451030,7372,,,
3310,1,5/16/2016,CA,3290174,31.49,451030,7372,,,
3310,1,5/17/2016,CA,3028904,31.19,451030,7372,,,
3310,1,5/18/2016,CA,2694172,31.36,451030,7372,,,
3310,1,5/19/2016,CA,2147488,31.19,451030,7372,,,
3310,1,5/20/2016,CA,2780280,31.31,451030,7372,,,
3310,1,5/23/2016,CA,3140364,31.05,451030,7372,,,
3310,1,5/24/2016,CA,3042205,31.46,451030,7372,,,
3310,1,5/25/2016,CA,4434197,31.78,451030,7372,,,
3310,1,5/26/2016,CA,3029135,32.02,451030,7372,,,
3310,1,5/27/2016,CA,3218181,32.07,451030,7372,,,
3310,1,5/31/2016,CA,4237315,32.32,451030,7372,,,
3310,1,6/1/2016,CA,2670852,32.48,451030,7372,,,
3310,1,6/2/2016,CA,2779603,32.8,451030,7372,,,
3310,1,6/3/2016,CA,2401940,32.58,451030,7372,,,
3310,1,6/6/2016,CA,1499095,32.71,451030,7372,,,
3310,1,6/7/2016,CA,1642719,32.74,451030,7372,,,
3310,1,6/8/2016,CA,2886102,33.09,451030,7372,,,
3310,1,6/9/2016,CA,2290187,32.93,451030,7372,,,
3310,1,6/10/2016,CA,2602439,32.99,451030,7372,,,
3310,1,6/13/2016,CA,3668636,32.76,451030,7372,,,
3310,1,6/14/2016,CA,4117230,32.55,451030,7372,,,
3310,1,6/15/2016,CA,1912857,32.64,451030,7372,,,
3310,1,6/16/2016,CA,2213515,32.98,451030,7372,,,
3310,1,6/17/2016,CA,3159967,32.71,451030,7372,,,
3310,1,6/20/2016,CA,1724775,33.04,451030,7372,,,
3310,1,6/21/2016,CA,1777004,33.1,451030,7372,,,
3310,1,6/22/2016,CA,1952471,33.22,451030,7372,,,
3310,1,6/23/2016,CA,1440974,33.575,451030,7372,,,
3310,1,6/24/2016,CA,4658880,32,451030,7372,,,
3310,1,6/27/2016,CA,2779303,31.26,451030,7372,,,
3310,1,6/28/2016,CA,2384293,31.62,451030,7372,,,
3310,1,6/29/2016,CA,2020567,32.25,451030,7372,,,
3310,1,6/30/2016,CA,2368954,32.83,451030,7372,,,
6565,1,3/1/2016,LRCX,2937570,75.57,453010,3559,,,
6565,1,3/2/2016,LRCX,2421457,74.55,453010,3559,,,
6565,1,3/3/2016,LRCX,1402021,74.87,453010,3559,,,
6565,1,3/4/2016,LRCX,1624221,74.33,453010,3559,,,
6565,1,3/7/2016,LRCX,2237950,75.04,453010,3559,,,
6565,1,3/8/2016,LRCX,3281922,73.34,453010,3559,,,
6565,1,3/9/2016,LRCX,1643148,73.81,453010,3559,,,
6565,1,3/10/2016,LRCX,2970671,75.23,453010,3559,,,
6565,1,3/11/2016,LRCX,2139206,76.17,453010,3559,,,
6565,1,3/14/2016,LRCX,1562349,76.92,453010,3559,,,
6565,1,3/15/2016,LRCX,2347545,77.16,453010,3559,,,
6565,1,3/16/2016,LRCX,2351580,77.81,453010,3559,,,
6565,1,3/17/2016,LRCX,2661752,79.26,453010,3559,,,
6565,1,3/18/2016,LRCX,2673442,79.42,453010,3559,,,
6565,1,3/21/2016,LRCX,1553699,79.76,453010,3559,,,
6565,1,3/22/2016,LRCX,1495488,80.18,453010,3559,,,
6565,1,3/23/2016,LRCX,2011086,79.36,453010,3559,,,
6565,1,3/24/2016,LRCX,2156626,78.88,453010,3559,,,
6565,1,3/28/2016,LRCX,1390812,79.13,453010,3559,,,
6565,1,3/29/2016,LRCX,3298560,81.94,453010,3559,,,
6565,1,3/30/2016,LRCX,2656509,82.19,453010,3559,,,
6565,1,3/31/2016,LRCX,3857635,82.6,453010,3559,,,
